Timestamp,Source_IP,Destination_IP,Protocol,Source_Port,Destination_Port,State,Action
2026-08-25T08:08:14Z,192.168.10.45,102.176.56.12,TCP,61221,443,ESTABLISHED,ALLOW
2026-08-25T08:14:48Z,192.168.10.45,102.176.56.12,TCP,55432,443,ESTABLISHED,ALLOW
2026-08-25T08:24:26Z,192.168.10.45,102.176.56.12,TCP,54231,443,ESTABLISHED,ALLOW
2026-08-25T08:31:00Z,192.168.10.45,102.176.56.12,TCP,52119,443,ESTABLISHED,ALLOW
2026-08-25T08:38:09Z,192.168.10.45,102.176.56.12,TCP,63211,443,ESTABLISHED,ALLOW
2026-08-25T08:43:55Z,192.168.10.45,102.176.56.12,TCP,59124,443,ESTABLISHED,ALLOW
2026-08-25T08:49:50Z,192.168.10.45,102.176.56.12,TCP,50221,443,ESTABLISHED,ALLOW
2026-08-25T08:58:39Z,192.168.10.45,102.176.56.12,TCP,49882,443,ESTABLISHED,ALLOW
2026-08-25T09:05:40Z,192.168.10.45,102.176.56.12,TCP,51299,443,ESTABLISHED,ALLOW
2026-08-25T09:15:37Z,192.168.10.45,102.176.56.12,TCP,54122,443,ESTABLISHED,ALLOW
2026-08-25T09:21:49Z,192.168.10.45,102.176.56.12,TCP,60211,443,ESTABLISHED,ALLOW
2026-08-25T09:28:44Z,192.168.10.45,102.176.56.12,TCP,55231,443,ESTABLISHED,ALLOW
2026-08-25T09:37:37Z,192.168.10.45,102.176.56.12,TCP,59876,443,ESTABLISHED,ALLOW
2026-08-25T09:47:04Z,192.168.10.45,102.176.56.12,TCP,61002,443,ESTABLISHED,ALLOW
2026-08-25T09:56:56Z,192.168.10.45,102.176.56.12,TCP,51203,443,ESTABLISHED,ALLOW
2026-08-25T10:04:19Z,192.168.10.45,102.176.56.12,TCP,53492,443,ESTABLISHED,ALLOW
2026-08-25T10:09:43Z,192.168.10.45,102.176.56.12,TCP,57211,443,ESTABLISHED,ALLOW
2026-08-25T10:15:58Z,192.168.10.45,102.176.56.12,TCP,58911,443,ESTABLISHED,ALLOW
2026-08-25T10:24:24Z,192.168.10.45,102.176.56.12,TCP,60112,443,ESTABLISHED,ALLOW
2026-08-25T10:33:57Z,192.168.10.45,102.176.56.12,TCP,51290,443,ESTABLISHED,ALLOW
2026-08-25T10:41:25Z,192.168.10.45,102.176.56.12,TCP,54288,443,ESTABLISHED,ALLOW
2026-08-25T10:51:19Z,192.168.10.45,102.176.56.12,TCP,53112,443,ESTABLISHED,ALLOW
2026-08-25T10:57:33Z,192.168.10.45,102.176.56.12,TCP,59124,443,ESTABLISHED,ALLOW
2026-08-25T11:06:57Z,192.168.10.45,102.176.56.12,TCP,61211,443,ESTABLISHED,ALLOW
2026-08-25T11:15:38Z,192.168.10.45,102.176.56.12,TCP,51299,443,ESTABLISHED,ALLOW
2026-08-25T11:30:15Z,192.168.10.45,198.51.100.77,TCP,51022,80,NEW,ALLOW
2026-08-25T11:41:52Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T11:41:52Z,211.23.145.92,102.176.56.12,TCP,33214,80,NEW,DENY
2026-08-25T11:51:30Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T11:51:30Z,89.248.165.41,102.176.56.12,TCP,41215,80,NEW,DENY
2026-08-25T12:01:21Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T12:01:21Z,142.250.180.14,102.176.56.12,TCP,59332,80,NEW,DENY
2026-08-25T12:09:44Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T12:09:44Z,162.216.150.32,102.176.56.12,TCP,38914,80,NEW,DENY
2026-08-25T12:20:13Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T12:20:13Z,193.163.125.10,102.176.56.12,TCP,44123,80,NEW,DENY
2026-08-25T12:30:13Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T12:30:13Z,45.143.203.14,102.176.56.12,TCP,51204,80,NEW,DENY
2026-08-25T12:39:13Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T12:39:13Z,185.156.74.52,102.176.56.12,TCP,49112,80,NEW,DENY
2026-08-25T12:50:52Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T12:50:52Z,194.26.29.112,102.176.56.12,TCP,36782,80,NEW,DENY
2026-08-25T13:00:23Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:00:23Z,220.133.11.45,102.176.56.12,TCP,40129,80,NEW,DENY
2026-08-25T13:10:48Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:10:48Z,81.16.142.103,102.176.56.12,TCP,52114,80,NEW,DENY
2026-08-25T13:19:10Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:19:10Z,103.241.22.91,102.176.56.12,TCP,33421,80,NEW,DENY
2026-08-25T13:28:43Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:28:43Z,152.32.214.5,102.176.56.12,TCP,49210,80,NEW,DENY
2026-08-25T13:38:09Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:38:09Z,114.119.162.10,102.176.56.12,TCP,60114,80,NEW,DENY
2026-08-25T13:48:47Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:48:47Z,14.215.179.4,102.176.56.12,TCP,51322,80,NEW,DENY
2026-08-25T13:58:39Z,192.168.10.45,102.176.56.12,TCP,54101,443,ESTABLISHED,ALLOW
2026-08-25T13:58:39Z,119.28.112.52,102.176.56.12,TCP,39912,80,NEW,DENY
2026-08-25T14:22:05Z,45.138.99.12,102.176.56.12,TCP,33211,443,NEW,ALLOW
2026-08-25T14:26:15Z,45.138.99.12,102.176.56.12,TCP,33211,443,ESTABLISHED,ALLOW
2026-08-25T14:31:10Z,192.168.10.45,102.176.56.12,TCP,51299,443,ESTABLISHED,ALLOW
2026-08-25T14:31:10Z,183.240.52.12,102.176.56.12,TCP,42104,443,NEW,DENY
2026-08-25T14:38:10Z,192.168.10.45,102.176.56.12,TCP,51299,443,ESTABLISHED,ALLOW
2026-08-25T14:38:10Z,45.153.160.101,102.176.56.12,TCP,36991,443,NEW,DENY
