Timestamp,Source_IP,Destination_IP,Protocol,Destination_Port,Bytes_Transferred,Action,Notes
2026-08-25T08:08:14Z,192.168.10.45,102.176.56.12,TCP,443,4901,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:14:48Z,192.168.10.45,102.176.56.12,TCP,443,1844,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:24:26Z,192.168.10.45,102.176.56.12,TCP,443,2674,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:31:00Z,192.168.10.45,102.176.56.12,TCP,443,2772,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:38:09Z,192.168.10.45,102.176.56.12,TCP,443,1695,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:43:55Z,192.168.10.45,102.176.56.12,TCP,443,3004,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:49:50Z,192.168.10.45,102.176.56.12,TCP,443,4562,ALLOW,Active mail traffic syncing inbox
2026-08-25T08:58:39Z,192.168.10.45,102.176.56.12,TCP,443,1535,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:05:40Z,192.168.10.45,102.176.56.12,TCP,443,1716,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:15:37Z,192.168.10.45,102.176.56.12,TCP,443,2573,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:21:49Z,192.168.10.45,102.176.56.12,TCP,443,4739,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:28:44Z,192.168.10.45,102.176.56.12,TCP,443,767,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:37:37Z,192.168.10.45,102.176.56.12,TCP,443,3717,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:47:04Z,192.168.10.45,102.176.56.12,TCP,443,1015,ALLOW,Active mail traffic syncing inbox
2026-08-25T09:56:56Z,192.168.10.45,102.176.56.12,TCP,443,2853,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:04:19Z,192.168.10.45,102.176.56.12,TCP,443,2127,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:09:43Z,192.168.10.45,102.176.56.12,TCP,443,1413,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:15:58Z,192.168.10.45,102.176.56.12,TCP,443,2343,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:24:24Z,192.168.10.45,102.176.56.12,TCP,443,3974,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:33:57Z,192.168.10.45,102.176.56.12,TCP,443,4562,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:41:25Z,192.168.10.45,102.176.56.12,TCP,443,3405,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:51:19Z,192.168.10.45,102.176.56.12,TCP,443,3469,ALLOW,Active mail traffic syncing inbox
2026-08-25T10:57:33Z,192.168.10.45,102.176.56.12,TCP,443,4789,ALLOW,Active mail traffic syncing inbox
